,id,Nombre,Nemo,Tipo,Potencia,Region,F_desde,F_hasta,lat,lon,provincia,Tipo_eco
0,639.0,P.E. ARAUCO II (ETAPA 1 Y 2),AR21EO,eolicas,99.75,NOA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-28.71325137507671,-66.70538536476309,La Rioja,Renovable
1,506.0,ARAUCO EOLICO,ARAUEO,eolicas,25.2,NOA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-28.70193863246841,-66.75204047299732,La Rioja,Renovable
2,568.0,ARAUCO EOLICO 2,ARA2EO,eolicas,25.2,CUY,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-28.69297965806172,-66.75442466300751,La Rioja,Renovable
3,614.0,EL JUME,JUMEEO,eolicas,8.0,NOA,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-29.419390882194023,-63.70965786088521,Santiago del Estero,Renovable
4,669.0,P.E. Achiras,ACHIEO,eolicas,48.0,CEN,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.213183892153985,-65.08005854387034,Córdoba,Renovable
5,863.0,Parque eólico Los Olivos,OLIVEO,eolicas,22.8,CEN,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.23176772580827,-65.07577345512344,Córdoba,Renovable
6,820.0,Parque eólico Manque,MANQEO,eolicas,57.0,CEN,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-33.228753062143475,-65.07507758276614,Córdoba,Renovable
7,674.0,P.E.  Bicentenario,BICEEO,eolicas,100.8,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-47.29840109685662,-66.9979024905904,Santa Cruz,Renovable
8,825.0,Parque Eólico del Bicentenario II (MATER),BIC2EO,eolicas,25.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-47.3098602165833,-67.01354943277428,Santa Cruz,Renovable
9,871.0,P.E. Cañadon Leon (ampliacion),LEO1EO,eolicas,21.15,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-46.58868692505683,-67.64311746261487,Santa Cruz,Renovable
10,651.0,PE CAÑADON LEON,LEONEO,eolicas,99.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-46.58811446592826,-67.64421076120377,Santa Cruz,Renovable
11,652.0,PE LOS HERCULES,LHEREO,eolicas,97.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-46.63108585943432,-68.38525914722364,Santa Cruz,Renovable
12,562.0,EL TORDILLO,TORDEO,eolicas,3.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-45.85351164320858,-67.90808706250002,Chubut,Renovable
13,648.0,P.E. Kosten,KOSTEO,eolicas,24.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-45.80908375940685,-68.05533320109167,Chubut,Renovable
14,514.0,DIADEMA EOLICO,DIADEO,eolicas,6.3,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-45.74655472022336,-67.69410422738136,Chubut,Renovable
15,751.0,P.E. DIADEMA II,DIA2EO,eolicas,27.6,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-45.75424305234864,-67.66582874542496,Chubut,Renovable
16,597.0,MANANTIALES BEHR (YPF),MANAEO,eolicas,99.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-45.651355244101815,-67.75426158351952,Chubut,Renovable
17,522.0,MALASPINA1 ENAR,MAL1EO,eolicas,50.4,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-44.96828305588791,-67.06181425150551,Chubut,Renovable
18,646.0,P.E. Garayalde,GARAEO,eolicas,24.15,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-44.531491864618864,-66.47382520715331,Chubut,Renovable
19,580.0,RAWSON 3 EOLICO,RAW3EO,eolicas,25.05,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.37216865643174,-65.19255704151983,Chubut,Renovable
20,517.0,RAWSONI  ENARSA,RAW1EO,eolicas,52.5,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.34509652573272,-65.18551220362782,Chubut,Renovable
21,518.0,RAWSONII ENARSA,RAW2EO,eolicas,31.15,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.34987857748446,-65.16257087163643,Chubut,Renovable
22,536.0,L.BLANC 4 ENARS,LOM4EO,eolicas,50.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.117405973501896,-65.24723014289705,Chubut,Renovable
23,535.0,L.BLANC 3 ENARS,LOM3EO,eolicas,51.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.03772397638277,-65.15859838069143,Chubut,Renovable
24,1135.0,L.BLANC 2 ENARS,LOM2EO,eolicas,51.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.02838794969582,-65.21373773122967,Chubut,Renovable
25,533.0,L.BLANC 1 ENARS,LOM1EO,eolicas,51.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-43.00508034371452,-65.12321911717822,Chubut,Renovable
26,689.0,PE L. Blanca 6,LOM6EO,eolicas,102.4,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.90473517455093,-65.35519945547304,Chubut,Renovable
27,526.0,PMADRYN I ENARS,PMA1EO,eolicas,71.1,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.70545677901764,-65.22969699173007,Chubut,Renovable
28,527.0,PMADRYNII ENARS,PMA2EO,eolicas,151.2,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.70412076184972,-65.28423884856639,Chubut,Renovable
29,857.0,Parque eólico Autogeneración ALUAR,ALUAEO,eolicas,93.6,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.6351158783007,-65.28429632343943,Chubut,Renovable
30,821.0,Parque eolico ALUAR I (MATER),ALU1EO,eolicas,50.4,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.60877273616415,-65.27227947184213,Chubut,Renovable
31,747.0,P.E. CHUBUT NORTE III,CHN3EO,eolicas,57.66,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.610233519999966,-65.18158512999997,Chubut,Renovable
32,644.0,PE Chubut Norte,CHNOEO,eolicas,28.8,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.574954165902206,-65.11984777831236,Chubut,Renovable
33,873.0,P.E. CHUBUT NORTE II,CHN2EO,eolicas,26.0,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.57034305061742,-65.12251927487483,Chubut,Renovable
34,748.0,P.E. CHUBUT NORTE IV,CHN4EO,eolicas,83.22,PAT,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-42.56166329000001,-65.19153850999996,Chubut,Renovable
35,849.0,P.E. VIENTOS NEUQUINOS I,NEU1EO,eolicas,100.49,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.74540748575674,-69.76743326558538,Neuquén,Renovable
36,696.0,P.E. Pomona I,POM1EO,eolicas,101.4,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.55933426725547,-65.72693938922056,Río Negro,Renovable
37,835.0,Parque Eólico POMONA II (MATER),POM2EO,eolicas,11.7,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-39.55981611149467,-65.7265611056351,Río Negro,Renovable
38,673.0,PE La Banderita,BANDEO,eolicas,39.6,COM,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-37.48720358353259,-64.76158049976414,La Pampa,Renovable
39,842.0,EÓLICO VILLALONGA II GENNEIA (MATER),VLO2EO,eolicas,3.45,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-40.03973051779777,-62.65978069093374,Buenos Aires,Renovable
40,582.0,VILLALONGA EOLI,VLONEO,eolicas,51.75,BSAS,2015-01-01T03:00:00Z,9999-12-01T03:00:00Z,-40.0267501954804,-62.65875817114113,Buenos Aires,Renovable
