;id;Nombre;Nemo;Tipo;Potencia;Region;F_desde;F_hasta;lat;lon
0;391;F. AMEGHINO;AMEGHI;hidraulica;46.8;PAT;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-43.69919138277291;-66.48176107702609
1;389;FUTALEUFU;FUTAHI;hidraulica;532;PAT;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-43.12918570041251;-71.62994868923936
2;697;H RIO ESCONDIDO;RESCHI;hidraulica;7.2;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-41.691335963914625;-71.56193287223144
3;62;ALICURA;ALICHI;hidraulica;1050;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-40.58419649266092;-70.74742630623528
4;63;PIEDRA D AGUILA;PAGUHI;hidraulica;1400;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-40.189838049248465;-69.9917941724361
5;302;PICHI P. LEUFU;PPLEHI;hidraulica;285;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-40.01250878991134;-69.98495141371495
6;59;CHOCON;CHOCHI;hidraulica;1260;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-39.2658472988655;-68.7560382965823
7;61;ARROYITO;ARROHI;hidraulica;127.8;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-39.10712154281761;-68.58545090823768
8;82;CESPEDES;CESPHI;hidraulica;5.2;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-39.559952344474695;-65.68193659124027
9;79;GRAL. ROCA;GROCHI;hidraulica;1;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-39.02356366189623;-67.56950193925017
10;80;CIPOLLETTI;CIPOHI;hidraulica;5.4;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.913149725540784;-67.9419236685025
11;81;JULIAN ROMERO;ROMEHI;hidraulica;6.2;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.83663022688351;-68.03748819389928
12;60;P. BANDERITA;PBANHI;hidraulica;472;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.55960663962625;-68.4744459885959
13;509;SALTO ANDERSEN;SANDHI;hidraulica;8;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.82139794024728;-64.81720787593449
14;198;CASA DE PIEDRA;CPIEHI;hidraulica;60;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-38.21432964164898;-67.19068168654454
15;90;DIVISADEROS;DIVIHI;hidraulica;10;COM;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-37.871637211872546;-67.68962736230355
16;99;YACYRETA;YACYHI;hidraulica;2540;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.482757340102474;-56.73927801465162
17;null;URUGUA-Í;;hidraulica;140;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-25.876619916374096;-54.56864260553339
18;64;S. GRANDE ARG;SGDEHIAR;hidraulica;945;LIT;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.27378206255044;-57.94126545085596
19;65;S. GRANDE URU;SGDEHIUR;hidraulica;945;LIT;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.276624000248006;-57.935570442584705
20;71;NIHUIL 1;NIH1HI;hidraulica;72;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-34.995113985932925;-68.6308328986911
21;72;NIHUIL 2;NIH2HI;hidraulica;110;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-34.91229127979466;-68.6234147224122
22;101;NIHUIL 3;NIH3HI;hidraulica;42;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-34.88237995368919;-68.5753196996058
23;241;NIHUIL 4;NIH4HI;hidraulica;18;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-34.83328792304431;-68.51440366565966
24;69;EL TIGRE;ETIGHI;hidraulica;14;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-34.6079441332114;-68.61292982461657
25;68;LOS REYUNOS;LREYHB;hidraulica;224;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-34.602963582230984;-68.63840012927916
26;67;AGUA DEL TORO;ADTOHI;hidraulica;150;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-34.5793889212683;-68.98946561328228
27;94;CH CARRIZAL;CARRHI;hidraulica;17;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.299282261069095;-68.7199436163259
28;702;H Tib. Benegas;TBENHI;hidraulica;1.7;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.2430172094971;-68.68024286755265
29;354;C.H. A.CONDARCO;CONDHI;hidraulica;74;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.04443069732723;-69.05093542308717
30;353;C.H.CACHEUTA;CACHHI;hidraulica;120;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.02742175303501;-69.11236408059952
31;88;CH SAN MARTIN;SMARHI;hidraulica;6.48;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.0450137852746;-68.9218160120265
32;682;H Guaym. Slto 6;GUA6HI;hidraulica;1.2;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.03225352836263;-68.89576408542413
33;683;H Guaym. Slto 8;GUA8HI;hidraulica;1.2;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.02139713970675;-68.88262724561757
34;818;P.A.H. SALTO 11 CANAL CACIQUE GUAYMALLEN;GU11HI;hidraulica;0.52;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.00527753288853;-68.86867377868198
35;817;P.A.H. SALTO 7 CANAL CACIQUE GUAYMALLEN;GUA7HI;hidraulica;1.2;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.0257683099387;-68.8873640897713
36;537;PAH L.D.CUYO EN;LDCUHI;hidraulica;1;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.046384220409294;-68.93122993118651
37;538;PAH LUJANITA EN;LUJAHI;hidraulica;1.7;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-33.04273676182889;-68.91130719923763
38;750;P.A.H. CRUZ DEL EJE;CREJHI;hidraulica;0.5;CEN;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-30.749991670000014;-64.79606110999993
39;86;SAN ROQUE;SROQHI;hidraulica;24;CEN;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.353349934354952;-64.39377723374773
40;89;LOS MOLINOS;LMO1HI;hidraulica;52;CEN;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.838108535251564;-64.4462890122242
41;110;LOS MOLINOS 2;LMO2HI;hidraulica;4.5;CEN;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.84326498428112;-64.41494419510983
42;743;P.A.H. BOCA DEL RIO;BRIOHI;hidraulica;0.5;CEN;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.913502780000037;-65.11294166999996
43;85;LA VINIA;LVINHI;hidraulica;16;CEN;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.871482959189727;-65.03606534926406
44;177;PIEDRAS MORAS;PMORHI;hidraulica;6.3;CEN;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-32.16756108210075;-64.24375037775964
45;84;BENJAMIN REOLIN;REOLHI;hidraulica;33;CEN;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-32.190949957278725;-64.32306245148128
46;83;CASSAFOUSTH;CASSHI;hidraulica;16.2;CEN;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-32.17525311823313;-64.37441331274353
47;87;FITZ SIMON;FSIMHI;hidraulica;10.5;CEN;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-32.1784902540692;-64.42076475951578
48;66;RIO GRANDE;RGDEHB;hidraulica;750;CEN;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-32.22339976465174;-64.63877891503586
49;108;LOS QUIROGA;LQUIHI;hidraulica;2;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.65096268362793;-64.36181232861644
50;77;RIO HONDO;RHONHI;hidraulica;17.5;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.52333472315746;-64.8858384223996
51;74;ESCABA;ESCAHI;hidraulica;24;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.637180772852673;-65.74762403076241
52;75;PUEBLO VIEJO;PVIEHI;hidraulica;15;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.14488166374938;-65.75201040926102
53;76;CADILLAL;CADIHI;hidraulica;12.6;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-26.620049983107222;-65.1868321876443
54;246;EL TUNAL;TUNAHI;hidraulica;10.52;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-25.22703223671219;-64.47643051625246
55;73;CABRA CORRAL;CCORHI;hidraulica;100.5;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-25.27198003556954;-65.329999093087
56;null;CORRALITO;;hidraulica;16;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-24.98303409624077;-65.68652714390232
57;262;LOS MADERAS;LMADHI;hidraulica;30.6;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-24.444198719243417;-65.21973649839283
58;78;RIO REYES;RREYHI;hidraulica;7;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-24.169483912115865;-65.49163488323623
