;id;Nombre;Nemo;Tipo;Potencia;Region;F_desde;F_hasta;lat;lon
0;641;P.S. CAUCHARI 1;CAU1FV;solar;100;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-24.105696371452296;-66.70784346239378
1;642;P.S. CAUCHARI 2;CAU2FV;solar;100;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-24.097109348711967;-66.71327360761052
2;643;P.S. CAUCHARI 3;CAU3FV;solar;100;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-24.086208225441396;-66.7196400225702
3;736;P.S. ALTIPLANO I;ALT1FV;solar;100;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-24.14960822043109;-66.89264789426461
4;653;P.S. La Puna;LPUNFV;solar;100;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-24.14883723168144;-66.90306875775889
5;678;P.S. Cafayate;CAFAFV;solar;80;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-26.0325876427206;-65.91794759603178
6;681;P.S. Fiambala;FIAMFV;solar;11;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.739444439999964;-67.64222221999995
7;699;P.S. Saujil;SAUJFV;solar;22.5;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-28.165537732753258;-66.22456586277302
8;681;P.S. Fiambala;FIAMFV;solar;11;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.739444439999964;-67.64222221999995
9;703;P.S. Tinogasta;TINOFV;solar;15;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-28.0355099474043;-67.55163256437677
10;891;P.S.F.V TINOGASTA TOZZI;TINZFV;solar;10;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-28.08779021172625;-67.53103607479717
11;693;P.S. Nonogasta;NONOFV;solar;35;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-29.330506050887628;-67.42438872419658
12;831;Parque de los Llanos (MATER);LLANFV;solar;20;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-30.29600000000002;-66.31399999999996
13;845;Parque Solar Chepes LEDLAR;CHEPFV;solar;2;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.34995423235423;-66.65643232588995
14;770;P.S. GUAÑIZUIL II A;GZ2AFV;solar;100;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-30.3676407047721;-69.2907260022031
15;685;PS. Iglesia Guañizuil;IGLEFV;solar;80;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-30.356594259889725;-69.2908689357819
16;2013;Proyecto Solar Tamberias (MATER);TAMBFV;solar;2.7;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.39695142522151;-69.464790478016
17;707;P.S. Ullum N1;ULN1FV;solar;25;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.33181834797167;-68.66735400408898
18;705;P.S. Ullum 3;ULL3FV;solar;32;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.334033069583896;-68.6727653202917
19;708;P.S. Ullum N2;ULN2FV;solar;25;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.341972444295827;-68.66690350422779
20;890;P.S. SIERRAS DEL ULLUM;SULLFV;solar;78;CUY;2023-01-11T03:00:00Z;9999-12-31T03:00:00Z;-31.377419333968504;-68.66622496175088
21;706;P.S. Ullum 4;ULL4FV;solar;13.5;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.385244632902534;-68.67810112379185
22;511;S.JUAN I FOTOVO;SJUAFV;solar;1.2;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.38880391080972;-68.67515732680694
23;852;P.S. ULLUM 4 (AMPLIACION MATER);UL42FV;solar;7;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.39072215602871;-68.68037795195164
24;827;Proyecto Solar Los Diaguitas (MATER);DIAGFV;solar;1.8;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.369177275950676;-68.45650082365914
25;688;PS Las Lomitas;LLOMFV;solar;1.7;CUY;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-31.40701111111091;-68.4779055555557
