;id;Nombre;Nemo;Tipo;Potencia;Region;F_desde;F_hasta;lat;lon
0;422;PIQUIRENDA;PIQI;termicas;30.4;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-22.349970943657965;-63.76665490190368
1;398;TARTAGAL;TART;termicas;11;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-22.541200242528404;-63.80534389557549
2;493;ORAN ENARSA;ORAD;termicas;15;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-23.135167273740308;-64.29926184369165
3;513;SMARTIN TABACAL;TABA;termicas;40;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-23.25376052219842;-64.24109681547459
4;627;CAIMANCITO;CAIM;termicas;89;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-23.733133011473868;-64.61513005777618
5;462;LIB. SAN MARTIN;LIBE;termicas;15.26;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-23.82246173020451;-64.78427282050023
6;114;LEDESMA;LEDE;termicas;76.2;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-23.827158249263434;-64.7933588752294
7;25;GUEMES;GUEM;termicas;364;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-24.689269541824757;-65.04172110635048
8;349;TERMOANDES;TAND;termicas;643;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-24.7437960153283;-65.05190139587384
9;459;JUAREZ;JUAR;termicas;4;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-23.90892270532568;-61.831563996514575
10;463;LAG. BLANCA;LBLA;termicas;7;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-25.128954266799667;-58.25965456382449
11;425;PIRANE;PIRA;termicas;16.25;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-25.678730720691078;-59.075506916153955
12;440;FORMOSA DELIVER;FORD;termicas;30;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-26.17565934400148;-58.20991074534303
13;417;CASTELLI;CAST;termicas;15;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-25.95640323976413;-60.62031079379415
14;586;P.ROCA CHACO;PROC;termicas;6;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-26.157233921511995;-59.553848337271994
15;585;S.MART. CHACO;SCHA;termicas;15;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-26.5583660715767;-59.32006831185238
16;471;L.PALMAS ENARSA;LPAL;termicas;6;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.02869439112287;-58.699545455343916
17;418;SAENZ PEÑA;SPEN;termicas;20;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-26.815665059824866;-60.41172834873285
18;476;SAENZ PEÑA II;SPE2;termicas;15;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-26.81507473905149;-60.412545878552926
19;466;CHARATA ENARSA;CHAR;termicas;19.4;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.2372619580196;-61.19439827149748
20;470;V.ANGELA ENARSA;VANG;termicas;15;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.58051222510698;-60.7098754608175
21;756;C.T. LA ESCONDIDA.  INDUNOR S.A.;ESCO;termicas;10;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.10676027119267;-59.442659115996115
22;584;BARRANQ. DISTRI;BARD;termicas;21.7;NEA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-27.491004495261315;-58.929095604904454
23;749;C.T. CITRUSVIL;CITR;termicas;3;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-26.852450152647215;-65.13588815059951
24;666;INDEP 2 ETAP 1;IND1;termicas;50;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-26.86464914803919;-65.22326356560201
25;667;INDEP 2 ETAP 2;IND2;termicas;50;NOA;2015-01-01T03:00:00Z;9999-12-01T03:00:00Z;-26.86499678492313;-65.22332641957351
